frame,fps
1775,40.27
1776,28.45
1777,28.45
1778,44.04
1779,39.85
1780,31.40
1781,34.83
1782,29.74
1783,46.08
1784,27.74
1785,32.43
1786,45.65
1787,38.26
1788,32.88
1789,30.67
1790,38.51
1791,36.82
1792,31.46
1793,30.24
1794,38.14
1795,37.91
1796,32.15
1797,32.10
1798,37.07
1799,34.08
1800,32.78
1801,35.03
1802,36.07
1803,37.52
1804,31.59
1805,34.90
1806,35.81
1807,35.41
1808,32.70
1809,34.52
1810,36.57
1811,34.28
1812,30.60
1813,37.70
1814,35.83
1815,34.06
1816,29.93
1817,37.86
1818,31.52
1819,36.92
1820,30.50
1821,40.56
1822,34.38
1823,34.95
1824,32.69
1825,36.40
1826,35.47
1827,35.02
1828,29.76
1829,36.96
1830,31.23
1831,39.20
1832,32.04
1833,38.30
1834,35.80
1835,33.63
1836,30.50
1837,38.25
1838,34.97
1839,33.09
1840,30.68
1841,37.81
1842,36.94
1843,34.54
1844,30.74
1845,40.49
1846,34.18
1847,30.68
1848,32.81
1849,39.05
1850,35.69
1851,33.04
1852,30.28
1853,40.75
1854,33.95
1855,27.78
1856,33.25
1857,41.51
1858,39.99
1859,32.46
1860,34.64
1861,36.67
1862,33.98
1863,32.22
1864,33.49
1865,38.75
1866,25.24
1867,36.55
1868,33.00
1869,43.35
1870,37.76
1871,32.31
1872,35.01
1873,37.81
1874,32.77
1875,33.39
1876,32.65
1877,38.58
1878,29.40
1879,34.86
1880,34.25
1881,40.05
1882,34.21
1883,31.72
1884,35.57
1885,38.69
1886,32.80
1887,30.29
1888,38.56
1889,37.46
1890,30.20
1891,32.18
1892,38.93
1893,35.75
1894,29.80
1895,36.52
1896,37.34
1897,36.61
1898,30.88
1899,31.43
1900,33.00
1901,33.85
1902,28.02
1903,45.88
1904,31.67
1905,39.50
1906,33.68
1907,40.81
1908,30.02
1909,32.22
1910,39.33
1911,36.16
1912,38.03
1913,34.50
1914,30.33
1915,31.41
1916,41.32
1917,33.28
1918,31.49
1919,37.54
1920,37.30
1921,33.32
1922,31.59
1923,38.41
1924,35.82
1925,34.10
1926,31.28
1927,34.76
1928,36.43
1929,33.94
1930,31.71
1931,38.24
1932,36.07
1933,32.90
1934,31.71
1935,38.70
1936,35.19
1937,30.02
1938,36.82
1939,37.63
1940,34.16
1941,31.86
1942,34.66
1943,36.10
1944,34.50
1945,32.90
1946,31.50
1947,40.46
1948,34.27
1949,32.28
1950,32.70
1951,40.26
1952,32.89
1953,31.50
1954,34.75
1955,35.87
1956,35.41
1957,31.26
1958,36.40
1959,37.79
1960,33.04
1961,32.40
1962,34.38
1963,38.70
1964,31.53
1965,33.06
1966,35.96
1967,37.85
1968,32.41
1969,32.71
1970,35.90
1971,36.75
1972,31.37
1973,31.50
1974,39.28
1975,36.89
1976,32.48
1977,31.36
1978,38.80
1979,34.94
1980,32.71
1981,34.28
1982,35.78
1983,36.03
1984,31.72
1985,34.81
1986,36.40
1987,34.89
1988,31.24
1989,34.19
1990,37.45
1991,34.08
1992,29.54
1993,38.14
1994,36.59
1995,35.05
1996,31.84
1997,34.65
1998,37.72
1999,34.21
2000,30.49
2001,35.35
2002,34.84
2003,34.70
2004,32.23
2005,39.10
2006,34.90
2007,34.29
2008,32.10
2009,33.27
2010,38.62
2011,33.89
2012,31.56
2013,36.30
2014,36.58
2015,33.73
2016,30.70
2017,36.50
2018,35.52
2019,34.43
2020,31.74
2021,39.15
2022,34.61
2023,32.69
2024,31.22
2025,41.38
2026,33.78
2027,32.33
2028,32.80
2029,36.14
2030,36.04
2031,32.63
2032,33.05
2033,38.28
2034,33.94
2035,32.77
2036,32.04
2037,41.09
2038,33.33
2039,32.55
2040,33.31
2041,38.89
2042,34.25
2043,32.12
2044,33.32
2045,35.84
2046,35.59
2047,28.62
2048,33.58
2049,42.01
2050,35.28
2051,26.31
2052,42.95
2053,28.56
2054,27.75
2055,48.53
2056,44.17
2057,38.29
2058,31.82
2059,33.54
2060,35.83
2061,37.18
2062,32.90
2063,31.35
2064,34.77
2065,38.79
2066,32.27
2067,32.78
2068,34.86
2069,37.83
2070,32.43
2071,32.45
2072,36.79
2073,36.41
2074,32.23
2075,34.39
2076,35.10
2077,35.70
2078,32.47
2079,35.26
2080,36.42
2081,34.97
2082,31.69
2083,33.00
2084,38.50
2085,34.76
2086,32.16
2087,34.63
2088,35.33
2089,35.17
2090,30.41
2091,36.20
2092,36.40
2093,34.27
2094,32.24
2095,34.79
2096,37.34
2097,33.82
2098,30.87
2099,38.66
2100,34.05
2101,34.16
2102,32.07
2103,38.11
2104,35.34
2105,32.31
2106,32.77
2107,38.22
2108,34.69
2109,32.48
2110,33.33
2111,38.39
2112,34.19
2113,33.61
2114,30.03
2115,40.67
2116,34.78
2117,33.11
2118,30.48
2119,37.22
2120,37.51
2121,33.08
2122,34.83
2123,36.15
2124,33.77
2125,32.22
2126,32.22
2127,40.51
2128,34.03
2129,32.24
2130,34.13
2131,36.55
2132,34.60
2133,32.24
2134,31.80
2135,41.93
2136,30.36
2137,34.57
2138,35.12
