timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T16:26:28.762787,57.85,48.6,14.5,38.3
2026-02-03T16:26:30.966338,57.85,49.4,14.5,37.4
2026-02-03T16:26:33.175266,57.3,42.2,14.5,37.8
2026-02-03T16:26:35.380762,58.95,51.1,14.5,38.2
2026-02-03T16:26:37.586157,58.4,48.8,14.5,38.4
2026-02-03T16:26:39.791776,56.75,58.3,14.5,37.4
2026-02-03T16:26:41.995249,57.85,64.2,14.5,38.4
2026-02-03T16:26:44.197610,58.4,57.2,14.5,37.7
2026-02-03T16:26:46.405668,58.95,63.8,14.5,37.5
2026-02-03T16:26:48.609177,59.5,56.6,14.5,38.5
2026-02-03T16:26:50.816080,56.75,62.3,14.5,38.4
2026-02-03T16:26:53.023301,57.85,44.7,14.6,37.5
2026-02-03T16:26:55.226203,57.85,48.6,14.5,37.7
2026-02-03T16:26:57.430960,58.95,44.0,14.5,38.3
2026-02-03T16:26:59.634868,57.85,50.7,14.5,38.5
2026-02-03T16:27:01.842814,57.85,48.2,14.5,37.4
2026-02-03T16:27:04.050574,58.4,63.0,14.5,38.1
2026-02-03T16:27:06.256898,58.4,56.6,14.5,38.5
2026-02-03T16:27:08.461143,58.4,62.5,14.6,38.2
2026-02-03T16:27:10.665220,59.5,49.7,14.5,38.4
2026-02-03T16:27:12.870907,58.95,39.0,14.5,37.8
2026-02-03T16:27:15.075264,58.4,52.9,14.5,37.9
2026-02-03T16:27:17.278750,57.3,49.4,14.5,38.3
2026-02-03T16:27:19.485600,57.85,59.0,14.5,37.5
2026-02-03T16:27:21.690499,58.4,57.5,14.5,37.7
2026-02-03T16:27:23.894842,58.4,61.6,14.5,39.0
2026-02-03T16:27:26.098575,57.3,56.3,14.5,38.3
2026-02-03T16:27:28.305111,58.4,60.6,14.6,38.2
2026-02-03T16:27:30.509700,58.95,39.0,14.5,38.2
2026-02-03T16:27:32.713075,58.4,51.2,14.6,38.0
2026-02-03T16:27:34.917689,58.95,48.4,14.6,38.1
2026-02-03T16:27:37.122659,57.85,51.6,14.5,38.4
2026-02-03T16:27:39.325741,57.3,40.2,14.6,38.0
2026-02-03T16:27:41.527907,57.85,50.0,14.5,37.5
